id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1491037316106039297	1491037316106039297	2022-02-08 18:42:52 IST	2022-02-08	18:42:52	+0530	31401945	eddstrawf1	Edd Straw		RT @wearetherace: A host of line-up changes are possible for the 2023 #F1 season, so for whom - among both the old guard and the new wave -…	en	[{'screen_name': 'wearetherace', 'name': 'the race', 'id': '1214181376536141830'}]	[]	[]	0	3	0	['f1']	[]	https://twitter.com/eddstrawF1/status/1491037316106039297	False		0								[]				
1491016694143549445	1491016694143549445	2022-02-08 17:20:56 IST	2022-02-08	17:20:56	+0530	31401945	eddstrawf1	Edd Straw		RT @wearetherace: 🗣️ 'We do not have to do politics. Now it's the matter of moving from gesture to action'  #F1 won't have an organised pre…	en	[{'screen_name': 'wearetherace', 'name': 'the race', 'id': '1214181376536141830'}]	[]	[]	0	9	0	['f1']	[]	https://twitter.com/eddstrawF1/status/1491016694143549445	False		0								[]				
1491016579559358465	1491016579559358465	2022-02-08 17:20:28 IST	2022-02-08	17:20:28	+0530	31401945	eddstrawf1	Edd Straw		"RT @wearetherace: #F1 CEO Stefano Domenicali has seen ""positivity"" in disillusioned star Lewis Hamilton's return to social media - and is c…"	en	[{'screen_name': 'wearetherace', 'name': 'the race', 'id': '1214181376536141830'}]	[]	[]	0	3	0	['f1']	[]	https://twitter.com/eddstrawF1/status/1491016579559358465	False		0								[]				
1490740096689135621	1490740096689135621	2022-02-07 23:01:50 IST	2022-02-07	23:01:50	+0530	31401945	eddstrawf1	Edd Straw		RT @racemediaawards: 2️⃣ days and counting until the big reveal at The Race Media Awards. Take a look at the finalists for 'Agency of The Y…	en	[{'screen_name': 'racemediaawards', 'name': 'the race media awards', 'id': '3383352874'}]	[]	[]	0	2	0	[]	[]	https://twitter.com/eddstrawF1/status/1490740096689135621	False		0								[]				
1490737740492812301	1490737740492812301	2022-02-07 22:52:28 IST	2022-02-07	22:52:28	+0530	31401945	eddstrawf1	Edd Straw		RT @SMitchellF1: A track floating away, a snowstorm that led to flooding, and a ‘Disneyland’ for drivers - some thoughts on last weekend’s…	en	[{'screen_name': 'smitchellf1', 'name': 'scott mitchell', 'id': '38485549'}]	[]	[]	0	5	0	[]	[]	https://twitter.com/eddstrawF1/status/1490737740492812301	False		0								[]				
1490377277993099266	1490377277993099266	2022-02-06 23:00:07 IST	2022-02-06	23:00:07	+0530	31401945	eddstrawf1	Edd Straw		RT @SMitchellF1: Here are Sebastian Vettel’s thoughts on “begging” for an Audi Quattro ride with Stig Blomqvist that Seb said was “magical”…	en	[{'screen_name': 'smitchellf1', 'name': 'scott mitchell', 'id': '38485549'}]	[]	[]	0	2	0	[]	[]	https://twitter.com/eddstrawF1/status/1490377277993099266	False		0								[]				
1490356513973616640	1490356513973616640	2022-02-06 21:37:37 IST	2022-02-06	21:37:37	+0530	31401945	eddstrawf1	Edd Straw		RT @glennfreeman39: “The latest series of #BringBackV10s is great… except for Spain 2001, that was a low blow”   “Yeah, total ‘brain fade’…	en	[{'screen_name': 'glennfreeman39', 'name': 'glenn freeman', 'id': '231852352'}]	[]	[]	0	3	0	['bringbackv10s']	[]	https://twitter.com/eddstrawF1/status/1490356513973616640	False		0								[]				
1490311155180609545	1490307772017254401	2022-02-06 18:37:22 IST	2022-02-06	18:37:22	+0530	31401945	eddstrawf1	Edd Straw		@SMitchellF1 That sounds like it was the fault of the ballast in the passenger seat	en	[]	[]	[]	0	0	13	[]	[]	https://twitter.com/eddstrawF1/status/1490311155180609545	False		0								[{'screen_name': 'SMitchellF1', 'name': 'Scott Mitchell', 'id': '38485549'}]				
1490302920323125253	1489703391056089090	2022-02-06 18:04:39 IST	2022-02-06	18:04:39	+0530	31401945	eddstrawf1	Edd Straw		@richie4236 It's a good example of how perspectives can vary. I completely get where David Tremayne was coming from with his view, but it was very different to mine as, at the time, a young fan	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/eddstrawF1/status/1490302920323125253	False		0								[{'screen_name': 'richie4236', 'name': 'Rich', 'id': '25552491'}]				
1490300016338030595	1490280918266912771	2022-02-06 17:53:06 IST	2022-02-06	17:53:06	+0530	31401945	eddstrawf1	Edd Straw		@TallyHoRacing The Larousse French dictionaries were always my favourite when I was at school - despite being missing one R in the spelling	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/eddstrawF1/status/1490300016338030595	False		0								[{'screen_name': 'TallyHoRacing', 'name': 'Tom Power', 'id': '1932131767'}]				
1490269748839518208	1490269748839518208	2022-02-06 15:52:50 IST	2022-02-06	15:52:50	+0530	31401945	eddstrawf1	Edd Straw		RT @wearetherace: A popular suggestion for spicing up #F1 races is limiting the amount of data available.  But @SportmphMark believes a bet…	en	[{'screen_name': 'wearetherace', 'name': 'the race', 'id': '1214181376536141830'}, {'screen_name': 'sportmphmark', 'name': 'mark hughes', 'id': '1622716321'}]	[]	[]	0	9	0	['f1']	[]	https://twitter.com/eddstrawF1/status/1490269748839518208	False		0								[]				
1490043878128369673	1490043878128369673	2022-02-06 00:55:18 IST	2022-02-06	00:55:18	+0530	31401945	eddstrawf1	Edd Straw		RT @SMitchellF1: They didn’t win. But they got closer than anybody (including themselves!) thought. Here’s how @IndyCar’s #ROC2022 duo @Col…	en	[{'screen_name': 'smitchellf1', 'name': 'scott mitchell', 'id': '38485549'}, {'screen_name': 'indycar', 'name': 'ntt indycar series', 'id': '21302878'}]	[]	[]	0	2	0	['roc2022']	[]	https://twitter.com/eddstrawF1/status/1490043878128369673	False		0								[]				
1489964350915977219	1489964350915977219	2022-02-05 19:39:18 IST	2022-02-05	19:39:18	+0530	31401945	eddstrawf1	Edd Straw		RT @SMitchellF1: This is awesome - Seb Vettel hitched a passenger ride in the Audi S1 Quattro, driven by none other than Stig Blomqvist! Tr…	en	[{'screen_name': 'smitchellf1', 'name': 'scott mitchell', 'id': '38485549'}]	[]	[]	0	70	0	[]	[]	https://twitter.com/eddstrawF1/status/1489964350915977219	False		0								[]				
1489893538468970496	1489893538468970496	2022-02-05 14:57:55 IST	2022-02-05	14:57:55	+0530	31401945	eddstrawf1	Edd Straw		RT @SMitchellF1: Race of Champions Snow and Ice (and Slush and Water). Disruption and improvisation this morning as the track, which crosse…	en	[{'screen_name': 'smitchellf1', 'name': 'scott mitchell', 'id': '38485549'}]	[]	[]	0	3	0	[]	[]	https://twitter.com/eddstrawF1/status/1489893538468970496	False		0								[]				
1489655064390213646	1489655064390213646	2022-02-04 23:10:18 IST	2022-02-04	23:10:18	+0530	31401945	eddstrawf1	Edd Straw		RT @wearetherace: 🎧 Ex-#F1 technical director @GaryAndersonF1 gives his verdict on the 2022 Haas car on the latest episode of The Race F1 P…	en	[{'screen_name': 'wearetherace', 'name': 'the race', 'id': '1214181376536141830'}, {'screen_name': 'garyandersonf1', 'name': 'gary anderson', 'id': '1222156587055439872'}]	[]	[]	0	6	0	['f1']	[]	https://twitter.com/eddstrawF1/status/1489655064390213646	False		0								[]				
1489619087382745090	1489619087382745090	2022-02-04 20:47:20 IST	2022-02-04	20:47:20	+0530	31401945	eddstrawf1	Edd Straw		RT @karunchandhok: Enjoyed a fun and interactive session with students from @warwickuni this afternoon! Always a pleasure to chat with stud…	en	[{'screen_name': 'karunchandhok', 'name': 'karun chandhok', 'id': '45578562'}, {'screen_name': 'warwickuni', 'name': 'university of warwick', 'id': '15916215'}]	[]	[]	0	10	0	[]	[]	https://twitter.com/eddstrawF1/status/1489619087382745090	False		0								[]				
1489594575635296262	1489594575635296262	2022-02-04 19:09:56 IST	2022-02-04	19:09:56	+0530	31401945	eddstrawf1	Edd Straw		"RT @wearetherace: 🗣️ ""How different it looks in Barcelona, you will see in two weeks""  Haas says its 2022 #F1 car will appear ""marginally d…"	en	[{'screen_name': 'wearetherace', 'name': 'the race', 'id': '1214181376536141830'}]	[]	[]	0	5	0	['f1']	[]	https://twitter.com/eddstrawF1/status/1489594575635296262	False		0								[]				
1489590000823853058	1489590000823853058	2022-02-04 18:51:46 IST	2022-02-04	18:51:46	+0530	31401945	eddstrawf1	Edd Straw		RT @wearetherace: Haas's VF-22 renders give us the most detailed look yet at a 2022 #F1 car.  @GaryAndersonF1 delves into what we can learn…	en	[{'screen_name': 'wearetherace', 'name': 'the race', 'id': '1214181376536141830'}, {'screen_name': 'garyandersonf1', 'name': 'gary anderson', 'id': '1222156587055439872'}]	[]	[]	0	10	0	['f1']	[]	https://twitter.com/eddstrawF1/status/1489590000823853058	False		0								[]				
1489589946625232898	1489589946625232898	2022-02-04 18:51:33 IST	2022-02-04	18:51:33	+0530	31401945	eddstrawf1	Edd Straw		RT @wearetherace: In the last year, Ferrari’s need to trim its workforce to meet the cost cap and Haas’ wish to expand have found common gr…	en	[{'screen_name': 'wearetherace', 'name': 'the race', 'id': '1214181376536141830'}]	[]	[]	0	4	0	[]	[]	https://twitter.com/eddstrawF1/status/1489589946625232898	False		0								[]				
1489509710718029826	1489509710718029826	2022-02-04 13:32:43 IST	2022-02-04	13:32:43	+0530	31401945	eddstrawf1	Edd Straw		RT @wearetherace: First impressions tend to last, and new Mercedes #F1 driver @GeorgeRussell63 knows that only too well.  In 2014, a transf…	en	[{'screen_name': 'wearetherace', 'name': 'the race', 'id': '1214181376536141830'}, {'screen_name': 'georgerussell63', 'name': 'george russell', 'id': '394892872'}]	[]	[]	0	8	0	['f1']	[]	https://twitter.com/eddstrawF1/status/1489509710718029826	False		0								[]				
1489499089549074438	1489499089549074438	2022-02-04 12:50:31 IST	2022-02-04	12:50:31	+0530	31401945	eddstrawf1	Edd Straw		RT @joinEF1: 🏎💥 NEW PODCAST ALERT!🎙🎉  Thank you for coming and speaking with us on our podcast @eddstrawF1   We get Edd's opinion on the en…	en	[{'screen_name': 'joinef1', 'name': 'everythingf1', 'id': '1146552581809942531'}, {'screen_name': 'eddstrawf1', 'name': 'edd straw', 'id': '31401945'}]	[]	[]	0	4	0	[]	[]	https://twitter.com/eddstrawF1/status/1489499089549074438	False		0								[]				
