id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1490756079294291972	1490756079294291972	2022-02-08 00:05:20 IST	2022-02-08	00:05:20	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		⏰ Almost time #TeamZHOU  https://t.co/TXaBzCNxD1	en	[]	[]	['https://pbs.twimg.com/media/FLA6wECXEAMs83Y.jpg']	49	110	2915	['teamzhou']	[]	https://twitter.com/GuanyuZhou24/status/1490756079294291972	False		1	https://pbs.twimg.com/media/FLA6wECXEAMs83Y.jpg							[]				
1488955502243590151	1488955502243590151	2022-02-03 00:50:29 IST	2022-02-03	00:50:29	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		 https://t.co/KMoSr5PRdp	und	[]	[]	['https://pbs.twimg.com/tweet_video_thumb/FKnVIl1XMAIDgFb.jpg']	12	23	795	[]	[]	https://twitter.com/GuanyuZhou24/status/1488955502243590151	False	https://twitter.com/alfaromeoorlen/status/1488807383220559876	1	https://pbs.twimg.com/tweet_video_thumb/FKnVIl1XMAIDgFb.jpg							[]				
1488517181725974534	1488517181725974534	2022-02-01 19:48:46 IST	2022-02-01	19:48:46	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		RT @F1: It's 2022. It's the Year of the Tiger.  Wishing you all a very happy and healthy #LunarNewYear  #F1  https://t.co/ihEacqPNi8	en	[{'screen_name': 'f1', 'name': 'formula 1', 'id': '69008563'}]	[]	['https://pbs.twimg.com/media/FKbUUhMXEAA6Ly5.jpg', 'https://pbs.twimg.com/media/FKbV5-nWUAIhckC.jpg', 'https://pbs.twimg.com/media/FKbV7AUXMAE0icy.jpg', 'https://pbs.twimg.com/media/FKbV8WpXsAQob2Z.jpg']	0	979	0	['lunarnewyear', 'f1']	[]	https://twitter.com/GuanyuZhou24/status/1488517181725974534	False		1	https://pbs.twimg.com/media/FKbUUhMXEAA6Ly5.jpg							[]				
1488460942698504192	1488455136447975425	2022-02-01 16:05:17 IST	2022-02-01	16:05:17	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		@Ben_Sulayem @fia @F1 Thank you for your warm welcome 🙌🏼	en	[]	[]	[]	5	1	101	[]	[]	https://twitter.com/GuanyuZhou24/status/1488460942698504192	False		0								[{'screen_name': 'Ben_Sulayem', 'name': 'Mohammed Ben Sulayem', 'id': '1072753450801397760'}, {'screen_name': 'fia', 'name': 'FIA', 'id': '432507102'}, {'screen_name': 'F1', 'name': 'Formula 1', 'id': '69008563'}]				
1488460195617513474	1488460195617513474	2022-02-01 16:02:19 IST	2022-02-01	16:02:19	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		RT @alfaromeoorlen: A few words from @GuanyuZhou24 to celebrate Chinese New Year! 🎇🐅  #ChineseNewYear  https://t.co/3db05MmztQ	en	[{'screen_name': 'alfaromeoorlen', 'name': 'alfa romeo f1 team orlen', 'id': '229454266'}, {'screen_name': 'guanyuzhou24', 'name': '周冠宇 | guanyu zhou 🇨🇳', 'id': '1091070048'}]	[]	[]	0	78	0	['chinesenewyear']	[]	https://twitter.com/GuanyuZhou24/status/1488460195617513474	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1488457220824219652/pu/img/VOqF8MyFTLIqZxpq.jpg							[]				
1488222894387867657	1488222894387867657	2022-02-01 00:19:22 IST	2022-02-01	00:19:22	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		RT @fia: Welcome to the Chinese New Year under the sign of the water tiger, bearer of renewal  #F1 @GuanyuZhou24 @alfaromeoorlen, the first…	en	[{'screen_name': 'fia', 'name': 'fia', 'id': '432507102'}, {'screen_name': 'guanyuzhou24', 'name': '周冠宇 | guanyu zhou 🇨🇳', 'id': '1091070048'}, {'screen_name': 'alfaromeoorlen', 'name': 'alfa romeo f1 team orlen', 'id': '229454266'}]	[]	[]	0	95	0	['f1']	[]	https://twitter.com/GuanyuZhou24/status/1488222894387867657	False		0								[]				
1488220184599007236	1488189864566824961	2022-02-01 00:08:36 IST	2022-02-01	00:08:36	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		@alfaromeoorlen  https://t.co/iix2c24wU6	und	[]	[]	['https://pbs.twimg.com/tweet_video_thumb/FKc4XeRX0AoNnql.jpg']	0	14	249	[]	[]	https://twitter.com/GuanyuZhou24/status/1488220184599007236	False		1	https://pbs.twimg.com/tweet_video_thumb/FKc4XeRX0AoNnql.jpg							[]				
1488219709589893123	1488219709589893123	2022-02-01 00:06:43 IST	2022-02-01	00:06:43	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		RT @alfaromeoorlen: Happy Chinese New Year! 🎊🎇  Wishing everyone health and happiness in the Year of the Tiger! 🐅   #ChineseNewYear  https:/…	en	[{'screen_name': 'alfaromeoorlen', 'name': 'alfa romeo f1 team orlen', 'id': '229454266'}]	[]	[]	0	226	0	['chinesenewyear']	[]	https://twitter.com/GuanyuZhou24/status/1488219709589893123	False		0								[]				
1488085181378535424	1488085181378535424	2022-01-31 15:12:09 IST	2022-01-31	15:12:09	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		🎊HAPPY CHINESE NEW YEAR!🧧 Year of the tiger🐯, let’s make it a good one.   #ChineseNewYear #TeamZHOU	en	[]	[]	[]	89	215	4925	['chinesenewyear', 'teamzhou']	[]	https://twitter.com/GuanyuZhou24/status/1488085181378535424	False		0								[]				
1479936130938290180	1479936130938290180	2022-01-09 03:30:44 IST	2022-01-09	03:30:44	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		RT @alfaromeoracing: The countdown begins ⏳  https://t.co/a5T8flSmro	en	[]	[]	['https://pbs.twimg.com/media/FIf8RCXXwAcr1OJ.jpg', 'https://pbs.twimg.com/media/FIf8RCdWYAk_eSm.jpg']	0	275	0	[]	[]	https://twitter.com/GuanyuZhou24/status/1479936130938290180	False		1	https://pbs.twimg.com/media/FIf8RCXXwAcr1OJ.jpg							[]				
1477636253747134465	1477636253747134465	2022-01-02 19:11:50 IST	2022-01-02	19:11:50	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		#NewProfiePic  https://t.co/AKs1nv0Ktw	und	[]	[]	['https://pbs.twimg.com/media/FIGeV0tWQAIwWSW.jpg']	95	200	6375	['newprofiepic']	[]	https://twitter.com/GuanyuZhou24/status/1477636253747134465	False		1	https://pbs.twimg.com/media/FIGeV0tWQAIwWSW.jpg							[]				
1474439457768198144	1474439457768198144	2021-12-24 23:28:55 IST	2021-12-24	23:28:55	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		🎅🏼Merry Christmas everyone!🎄  https://t.co/yZ4sIcqnZK	en	[]	[]	['https://pbs.twimg.com/media/FHZC3xUXsAQ8jU2.jpg']	53	125	3195	[]	[]	https://twitter.com/GuanyuZhou24/status/1474439457768198144	False		1	https://pbs.twimg.com/media/FHZC3xUXsAQ8jU2.jpg							[]				
1471189532947226640	1471189532947226640	2021-12-16 00:14:52 IST	2021-12-16	00:14:52	+0530	1091070048	guanyuzhou24	周冠宇 | Guanyu Zhou 🇨🇳		RT @alfaromeoracing: Second and final test day complete! Well done guys, now for a well-deserved rest! 🧳  https://t.co/jekC6mlpBs	en	[]	[]	['https://pbs.twimg.com/media/FGp66mXWUAAVY3U.jpg', 'https://pbs.twimg.com/media/FGp66mXXIAUmfqs.jpg', 'https://pbs.twimg.com/media/FGp66mZWYAw1l_p.jpg']	0	96	0	[]	[]	https://twitter.com/GuanyuZhou24/status/1471189532947226640	False		1	https://pbs.twimg.com/media/FGp66mXWUAAVY3U.jpg							[]				
